Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,FamilySize
0,3,1,-0.5541506949769678,1,0,-0.8471579942615405,,S,0.03794911304219064
1,1,0,0.6089903373090445,1,0,1.9750807637092673,C85,C,0.03794911304219064
1,3,0,-0.2633654369054647,0,0,-0.8174076743244094,,S,-0.6206788266456061
1,1,0,0.3909013937554172,1,0,1.1736600340606222,C123,S,0.03794911304219064
0,3,1,0.3909013937554172,0,0,-0.8118983558175332,,S,-0.6206788266456061
0,3,1,-0.11797280786971318,0,0,-0.7939027178466732,,Q,-0.6206788266456061
0,1,1,1.772131369595057,0,0,1.1191177808425483,E46,S,-0.6206788266456061
0,3,1,-2.0080769853344833,3,1,-0.2378273674010411,,S,2.013832932105581
1,3,0,-0.19066912238758893,0,2,-0.6760033017995241,,S,0.6965770527299874
1,2,0,-1.135721211119974,1,0,0.15865845199220882,,C,0.03794911304219064
1,3,0,-1.8626843562987316,1,1,-0.43065351514170547,G6,S,0.6965770527299874
1,1,0,2.06291662766656,0,0,0.003480783200133223,C103,S,-0.6206788266456061
0,3,1,-0.6995433240127193,0,0,-0.8118983558175332,,S,-0.6206788266456061
0,3,1,0.6816866518269202,1,5,0.21173302276005065,,S,3.3310888114811745
0,3,0,-1.135721211119974,0,0,-0.8205281523267042,,S,-0.6206788266456061
1,2,0,1.8448276841129325,0,0,-0.46150569878021175,,S,-0.6206788266456061
0,3,1,-2.0080769853344833,4,1,0.11697274444178136,,Q,2.672460871793378
1,2,1,-0.11797280786971318,0,0,-0.5937293429452387,,S,-0.6206788266456061
0,3,0,0.10011613568391413,1,0,-0.37335660267019377,,S,0.03794911304219064
1,3,0,-0.11797280786971318,0,0,-0.8482598579629158,,C,-0.6206788266456061
0,2,1,0.3909013937554172,0,0,-0.02076021823012176,,S,-0.6206788266456061
1,2,1,0.31820507923754143,0,0,-0.5937293429452387,D56,S,-0.6206788266456061
1,3,0,-1.063024896602098,0,0,-0.8128151064170775,,Q,-0.6206788266456061
1,1,1,-0.11797280786971318,0,0,0.39794798829246375,A6,S,-0.6206788266456061
0,3,0,-1.5718990982272285,3,1,-0.2378273674010411,,S,2.013832932105581
1,3,0,0.6089903373090445,1,5,0.21669140941623918,,S,3.3310888114811745
